Matrix A Rows,Matrix A Cols,Matrix B Rows,Matrix B Cols,Time (micro)
64,128,128,32,1414
64,128,128,64,2834
64,128,128,256,11748
64,256,256,32,2828
64,256,256,64,5606
64,256,256,128,11603
128,64,64,32,1381
128,64,64,128,5918
128,64,64,256,11167
128,256,256,32,5384
128,256,256,64,11357
128,256,256,128,22190
256,64,64,32,2711
256,64,64,128,11244
256,64,64,256,23413
256,128,128,32,5865
256,128,128,64,12002
256,128,128,256,47086
512,64,64,32,5420
512,64,64,128,22886
512,64,64,256,47250
512,128,128,32,12482
512,128,128,64,24419
512,128,128,256,96510
512,256,256,32,22667
512,256,256,64,45752
512,256,256,128,91081
