Matrix A Rows,Matrix A Cols,Matrix B Rows,Matrix B Cols,Time (micro)
64,128,128,32,1541
64,128,128,64,2650
64,128,128,256,11194
64,256,256,32,2665
64,256,256,64,5627
64,256,256,128,11820
128,64,64,32,1387
128,64,64,128,5735
128,64,64,256,11072
128,256,256,32,5495
128,256,256,64,11014
128,256,256,128,22086
256,64,64,32,2780
256,64,64,128,11056
256,64,64,256,24635
256,128,128,32,5481
256,128,128,64,10979
256,128,128,256,45189
512,64,64,32,5812
512,64,64,128,23511
512,64,64,256,44720
512,128,128,32,10777
512,128,128,64,26219
512,128,128,256,91492
512,256,256,32,22553
512,256,256,64,46505
512,256,256,128,94595
