Dataset,Size,Time(microseconds)
RandomArray,100,9
RandomArray,1000,123
RandomArray,10000,1454
RandomArray,20000,2941
RandomArray,40000,6347
RandomArray,60000,10446
RandomArray,80000,12860
RandomArray,100000,16551
NearlySortedArray,100,8
NearlySortedArray,1000,87
NearlySortedArray,10000,996
NearlySortedArray,20000,2196
NearlySortedArray,40000,5232
NearlySortedArray,60000,6710
NearlySortedArray,80000,11365
NearlySortedArray,100000,11944
ReversedArray,100,5
ReversedArray,1000,60
ReversedArray,10000,782
ReversedArray,20000,1582
ReversedArray,40000,3430
ReversedArray,60000,4886
ReversedArray,80000,7138
ReversedArray,100000,8942
