Dataset,Size,Time(microseconds)
RandomArray,100,24
RandomArray,1000,253
RandomArray,10000,2845
RandomArray,20000,5983
RandomArray,40000,12352
RandomArray,60000,18649
RandomArray,80000,26729
RandomArray,100000,31972
NearlySortedArray,100,23
NearlySortedArray,1000,237
NearlySortedArray,10000,2369
NearlySortedArray,20000,5067
NearlySortedArray,40000,10427
NearlySortedArray,60000,16226
NearlySortedArray,80000,21633
NearlySortedArray,100000,28313
ReversedArray,100,20
ReversedArray,1000,212
ReversedArray,10000,2162
ReversedArray,20000,4629
ReversedArray,40000,10566
ReversedArray,60000,15856
ReversedArray,80000,21313
ReversedArray,100000,26322
