Dataset,Size,Time(microseconds)
RandomArray,100,6
RandomArray,1000,93
RandomArray,10000,1174
RandomArray,20000,2152
RandomArray,40000,4882
RandomArray,60000,7845
RandomArray,80000,13511
RandomArray,100000,17068
NearlySortedArray,100,6
NearlySortedArray,1000,75
NearlySortedArray,10000,982
NearlySortedArray,20000,1941
NearlySortedArray,40000,3627
NearlySortedArray,60000,7494
NearlySortedArray,80000,10438
NearlySortedArray,100000,11971
ReversedArray,100,8
ReversedArray,1000,625
ReversedArray,10000,61489
ReversedArray,20000,242267
ReversedArray,40000,998150
ReversedArray,60000,2173255
ReversedArray,80000,3821100
ReversedArray,100000,5935699
