Dataset,Size,Time(microseconds)
RandomArray,100,15
RandomArray,1000,1045
RandomArray,10000,108568
RandomArray,20000,391245
RandomArray,40000,1576659
RandomArray,60000,3430152
RandomArray,80000,6125088
RandomArray,100000,10242117
NearlySortedArray,100,12
NearlySortedArray,1000,990
NearlySortedArray,10000,106933
NearlySortedArray,20000,413220
NearlySortedArray,40000,1592754
NearlySortedArray,60000,3594335
NearlySortedArray,80000,6244007
NearlySortedArray,100000,9719514
ReversedArray,100,11
ReversedArray,1000,930
ReversedArray,10000,98790
ReversedArray,20000,376743
ReversedArray,40000,1544098
ReversedArray,60000,3505365
ReversedArray,80000,6312798
ReversedArray,100000,9803863
