Dataset,Size,Time(microseconds)
RandomArray,100,9
RandomArray,1000,121
RandomArray,10000,1507
RandomArray,20000,3142
RandomArray,40000,6116
RandomArray,60000,10780
RandomArray,80000,13709
RandomArray,100000,17349
NearlySortedArray,100,6
NearlySortedArray,1000,76
NearlySortedArray,10000,998
NearlySortedArray,20000,2355
NearlySortedArray,40000,4636
NearlySortedArray,60000,6665
NearlySortedArray,80000,10920
NearlySortedArray,100000,12240
ReversedArray,100,6
ReversedArray,1000,63
ReversedArray,10000,853
ReversedArray,20000,1766
ReversedArray,40000,3533
ReversedArray,60000,4661
ReversedArray,80000,6888
ReversedArray,100000,8318
