Dataset,Size,Time(microseconds)
RandomArray,100,24
RandomArray,1000,271
RandomArray,10000,2901
RandomArray,20000,6210
RandomArray,40000,12508
RandomArray,60000,20169
RandomArray,80000,24559
RandomArray,100000,32606
NearlySortedArray,100,22
NearlySortedArray,1000,235
NearlySortedArray,10000,2598
NearlySortedArray,20000,5029
NearlySortedArray,40000,10311
NearlySortedArray,60000,16470
NearlySortedArray,80000,22020
NearlySortedArray,100000,26881
ReversedArray,100,20
ReversedArray,1000,209
ReversedArray,10000,2131
ReversedArray,20000,4810
ReversedArray,40000,10105
ReversedArray,60000,14343
ReversedArray,80000,20095
ReversedArray,100000,23661
