Dataset,Size,Time(microseconds)
RandomArray,100,6
RandomArray,1000,83
RandomArray,10000,1016
RandomArray,20000,2364
RandomArray,40000,5256
RandomArray,60000,9082
RandomArray,80000,12210
RandomArray,100000,16538
NearlySortedArray,100,5
NearlySortedArray,1000,76
NearlySortedArray,10000,1040
NearlySortedArray,20000,2019
NearlySortedArray,40000,3950
NearlySortedArray,60000,7899
NearlySortedArray,80000,10579
NearlySortedArray,100000,11757
ReversedArray,100,9
ReversedArray,1000,658
ReversedArray,10000,63370
ReversedArray,20000,253060
ReversedArray,40000,963305
ReversedArray,60000,2214704
ReversedArray,80000,3844091
ReversedArray,100000,6000804
