Dataset,Size,Time(microseconds)
RandomArray,100,14
RandomArray,1000,977
RandomArray,10000,94887
RandomArray,20000,371631
RandomArray,40000,1503402
RandomArray,60000,3359775
RandomArray,80000,5976634
RandomArray,100000,9558876
NearlySortedArray,100,11
NearlySortedArray,1000,942
NearlySortedArray,10000,92670
NearlySortedArray,20000,371950
NearlySortedArray,40000,1643122
NearlySortedArray,60000,3663636
NearlySortedArray,80000,6227752
NearlySortedArray,100000,9836032
ReversedArray,100,11
ReversedArray,1000,925
ReversedArray,10000,99203
ReversedArray,20000,385308
ReversedArray,40000,1672774
ReversedArray,60000,3624622
ReversedArray,80000,6048895
ReversedArray,100000,9423540
